player_id,player_name,team_id,team_abbreviation,gp,w,l,min,min1,dist_feet,dist_miles,dist_miles_off,dist_miles_def,avg_speed,avg_speed_off,avg_speed_def,date
203957,Dante Exum,1610612762,UTA,1,0,1,9.62,9.62,3338,0.63,0.33,0.3,3.75,3.77,3.72,10/29/2014
201589,Darrell Arthur,1610612743,DEN,1,1,0,16.38,16.38,5815,1.1,0.55,0.55,4.04,4.02,4.04,10/29/2014
201954,Darren Collison,1610612758,SAC,1,0,1,36.2,36.2,14438,2.73,1.46,1.28,4.43,4.81,4.37,10/29/2014
201942,DeMar DeRozan,1610612761,TOR,1,1,0,34.97,34.97,13280,2.52,1.44,1.08,4.29,4.51,4.04,10/29/2014
202326,DeMarcus Cousins,1610612758,SAC,1,0,1,30.78,30.78,10244,1.94,0.99,0.95,3.71,3.88,3.54,10/29/2014
201960,DeMarre Carroll,1610612737,ATL,1,0,1,31.87,31.87,12098,2.29,1.06,1.23,4.35,4.73,4.03,10/29/2014
203471,Dennis Schroder,1610612737,ATL,1,0,1,3.62,3.62,1540,0.29,0.14,0.15,5,4.28,5.46,10/29/2014
101114,Deron Williams,1610612751,BKN,1,0,1,39.05,39.05,14583,2.76,1.57,1.19,4.31,4.89,3.73,10/29/2014
202324,Derrick Favors,1610612762,UTA,1,0,1,27.2,27.2,10033,1.9,1.06,0.84,4.19,4.77,3.59,10/29/2014
201565,Derrick Rose,1610612741,CHI,1,1,0,21.35,21.35,8601,1.63,0.86,0.77,4.51,5.81,4,10/29/2014
202682,Derrick Williams,1610612758,SAC,1,0,1,12.7,12.7,4448,0.84,0.52,0.32,4,4.2,3.71,10/29/2014
202388,Donald Sloan,1610612754,IND,1,1,0,34.2,34.2,13606,2.58,1.42,1.16,4.56,4.57,4.57,10/29/2014
202700,Donatas Motiejunas,1610612745,HOU,1,1,0,8.65,8.65,3400,0.64,0.32,0.33,4.17,4.37,4,10/29/2014
2748,Dorell Wright,1610612757,POR,1,1,0,4.83,4.83,1870,0.35,0.18,0.17,4.98,6.13,4.18,10/29/2014
203926,Doug McDermott,1610612741,CHI,1,1,0,24.3,24.3,9669,1.83,0.91,0.92,4.45,4.85,4.11,10/29/2014
203110,Draymond Green,1610612744,GSW,1,1,0,34.37,34.37,12886,2.44,1.25,1.19,4.19,4.37,4.02,10/29/2014
2400,Drew Gooden,1610612764,WAS,1,0,1,33.63,33.63,12324,2.33,1.14,1.19,4.11,4.11,4.11,10/29/2014
2730,Dwight Howard,1610612745,HOU,1,1,0,31.9,31.9,10800,2.05,0.99,1.05,3.76,3.89,4.01,10/29/2014
2548,Dwyane Wade,1610612748,MIA,1,1,0,31.43,31.43,11329,2.15,1.18,0.96,4.01,4.39,4,10/29/2014
202734,E'Twaun Moore,1610612741,CHI,1,1,0,3,3,1191,0.23,0.13,0.09,3.99,3.73,4.29,10/29/2014
202334,Ed Davis,1610612747,LAL,1,0,1,32.63,32.63,12295,2.33,1.22,1.1,4.23,4.35,4.1,10/29/2014
1882,Elton Brand,1610612737,ATL,1,0,1,12.2,12.2,4153,0.79,0.37,0.42,3.94,4.47,3.52,10/29/2014
202683,Enes Kanter,1610612760,OKC,1,0,1,22.08,22.08,7370,1.4,0.76,0.63,3.8,4.19,3.38,10/29/2014
202339,Eric Bledsoe,1610612756,PHX,1,1,0,26.13,26.13,8936,1.69,0.9,0.79,3.91,4.55,3.36,10/29/2014
101141,Ersan Ilyasova,1610612749,MIL,1,0,1,11.77,11.77,3866,0.73,0.38,0.35,3.59,4.37,3.85,10/29/2014
202323,Evan Turner,1610612738,BOS,1,1,0,23.62,23.62,8748,1.66,0.94,0.71,4.33,4.36,3.76,10/29/2014
203105,Festus Ezeli,1610612744,GSW,1,1,0,8.15,8.15,2790,0.53,0.25,0.28,3.67,4.92,3.99,10/29/2014
202066,Garrett Temple,1610612764,WAS,1,0,1,30.92,30.92,11830,2.24,1.09,1.16,4.28,4.65,4.32,10/29/2014
202390,Gary Neal,1610612750,MIN,1,1,0,23.57,23.57,8617,1.63,0.96,0.67,4.09,4.79,3.82,10/29/2014
101123,Gerald Green,1610612756,PHX,1,1,0,22,22,8069,1.53,0.83,0.7,4.09,4.29,3.89,10/29/2014
201945,Gerald Henderson,1610612766,CHA,1,1,0,8.82,8.82,3588,0.68,0.37,0.31,4.77,5.28,4.23,10/29/2014
203507,Giannis Antetokounmpo,1610612749,MIL,1,0,1,24,24,8939,1.69,0.9,0.8,4.26,4.9,3.71,10/29/2014
201609,Goran Dragic,1610612748,MIA,1,1,0,26.2,26.2,10088,1.91,1.01,0.9,4.35,5.22,3.67,10/29/2014
202330,Gordon Hayward,1610612762,UTA,1,0,1,38.13,38.13,13605,2.58,1.46,1.12,4.09,4.79,3.41,10/29/2014
203476,Gorgui Dieng,1610612750,MIN,1,0,1,19.23,19.23,6346,1.2,0.6,0.6,3.77,3.98,3.58,10/29/2014
202349,Greivis Vasquez,1610612761,TOR,1,1,0,17.32,17.32,7003,1.33,0.74,0.58,4.51,4.49,4.54,10/29/2014
203084,Harrison Barnes,1610612744,GSW,1,1,0,28.83,28.83,11261,2.13,1.14,0.99,4.38,4.99,3.86,10/29/2014
203156,Henry Sims,1610612755,PHI,1,0,1,23.48,23.48,9215,1.75,0.92,0.82,4.4,4.63,4.17,10/29/2014
203138,Hollis Thompson,1610612755,PHI,1,0,1,28.5,28.5,10665,2.02,1.06,0.96,4.23,5.01,3.95,10/29/2014
101133,Ian Mahinmi,1610612754,IND,1,1,0,15.8,15.8,5527,1.05,0.54,0.51,3.8,3.66,3.95,10/29/2014
202697,Iman Shumpert,1610612739,CLE,1,0,1,20.23,20.23,8182,1.55,0.9,0.65,4.46,4.65,4.89,10/29/2014
203477,Isaiah Canaan,1610612755,PHI,1,1,0,8.17,8.17,3104,0.59,0.3,0.28,4.42,4.29,4.55,10/29/2014
202738,Isaiah Thomas,1610612738,BOS,1,1,0,20.28,20.28,7254,1.37,0.77,0.61,4.15,4.84,3.48,10/29/2014
2747,JR Smith,1610612739,CLE,1,0,1,21.6,21.6,8141,1.54,0.92,0.63,4.18,4.61,3.67,10/29/2014
203960,JaKarr Sampson,1610612755,PHI,1,0,1,7.92,7.92,3184,0.6,0.33,0.27,4.56,4.17,5.03,10/29/2014
201580,JaVale McGee,1610612743,DEN,1,1,0,9.05,9.05,3140,0.59,0.29,0.3,4,4.23,3.78,10/29/2014
203953,Jabari Parker,1610612749,MIL,1,0,1,36.88,36.88,13581,2.57,1.25,1.32,4.22,4.21,3.93,10/29/2014
203516,James Ennis III,1610612748,MIA,1,1,0,14.67,14.67,5989,1.13,0.61,0.53,4.51,4.93,4.09,10/29/2014
201935,James Harden,1610612745,HOU,1,1,0,38.18,38.18,12407,2.35,1.17,1.18,3.62,3.86,3.68,10/29/2014
201949,James Johnson,1610612761,TOR,1,1,0,13.85,13.85,5220,0.99,0.58,0.41,4.35,4.49,4.14,10/29/2014
201162,Jared Dudley,1610612749,MIL,1,0,1,26.17,26.17,9280,1.76,0.86,0.9,4.13,4.7,3.68,10/29/2014
203096,Jared Sullinger,1610612738,BOS,1,1,0,28.28,28.28,9750,1.85,0.96,0.89,3.83,4.32,3.77,10/29/2014
101127,Jarrett Jack,1610612751,BKN,1,0,1,30.08,30.08,11047,2.09,1.08,1.01,4.2,4.79,3.69,10/29/2014
101131,Jason Maxiell,1610612766,CHA,1,1,0,12.52,12.52,4354,0.82,0.45,0.37,3.84,4.46,4.18,10/29/2014
201160,Jason Smith,1610612752,NYK,1,0,1,13.78,13.78,4996,0.95,0.55,0.4,3.93,3.79,4.1,10/29/2014
1891,Jason Terry,1610612745,HOU,1,1,0,21.27,21.27,7538,1.43,0.76,0.67,3.95,4.31,4.16,10/29/2014
201574,Jason Thompson,1610612758,SAC,1,0,1,21.43,21.43,8455,1.6,0.86,0.75,4.5,5.06,3.93,10/29/2014
201145,Jeff Green,1610612763,MEM,1,1,0,35.63,35.63,12608,2.39,1.26,1.12,4.05,4.42,3.68,10/29/2014
201952,Jeff Teague,1610612737,ATL,1,0,1,32.43,32.43,11378,2.15,1.14,1.01,4.08,4.52,3.38,10/29/2014
202391,Jeremy Lin,1610612747,LAL,1,0,1,21.1,21.1,7487,1.42,0.8,0.62,3.97,4.13,3.77,10/29/2014
202366,Jerome Jordan,1610612751,BKN,1,0,1,6.33,6.33,2397,0.45,0.23,0.22,4.75,3.92,3.68,10/29/2014
201573,Jerryd Bayless,1610612749,MIL,1,0,1,14.22,14.22,5246,0.99,0.45,0.54,4.23,4.98,3.68,10/29/2014
201149,Joakim Noah,1610612741,CHI,1,1,0,19.85,19.85,6551,1.24,0.64,0.6,3.64,4.15,3.24,10/29/2014
204060,Joe Ingles,1610612762,UTA,1,0,1,4.17,4.17,1726,0.33,0.17,0.16,4.34,5.74,5.83,10/29/2014
2207,Joe Johnson,1610612751,BKN,1,0,1,34.45,34.45,12672,2.4,1.33,1.07,4.19,4.49,3.88,10/29/2014
201202,Joel Anthony,1610612765,DET,1,0,1,20.95,20.95,8112,1.54,0.86,0.68,4.3,4.7,4.44,10/29/2014
200777,Joel Freeland,1610612757,POR,1,1,0,5.67,5.67,1940,0.37,0.18,0.18,4.23,4.43,4.05,10/29/2014
203089,John Henson,1610612749,MIL,1,0,1,12.4,12.4,4318,0.82,0.39,0.42,3.88,4.34,3.51,10/29/2014
202322,John Wall,1610612764,WAS,1,0,1,37.35,37.35,13053,2.47,1.26,1.22,4.02,4.47,3.62,10/29/2014
202720,Jon Leuer,1610612763,MEM,1,1,0,19.23,19.23,7664,1.45,0.78,0.67,4.71,5,4.42,10/29/2014
201973,Jonas Jerebko,1610612738,BOS,1,0,1,12.17,12.17,4569,0.87,0.45,0.42,4.47,4.33,3.68,10/29/2014
