game_id,pctEFG,pctTS,pctUSG,ortg,drtg,netrtg,pacePer40PACE_PER40,ratioPIE
21600240,0.393,0.516,0.26,119.7,108.5,11.3,79.74,0.09
21600264,0.406,0.526,0.319,91.8,117.5,-25.7,77.42,0.086
21600272,0.375,0.493,0.359,113.8,107,6.8,74.1,0.124
21600289,0.556,0.595,0.25,107,115.9,-8.9,81.63,0.136
21600309,0.432,0.459,0.325,100,93.4,6.6,79.35,0.147
21600319,0.8,0.837,0.286,120.9,97,23.9,75.28,0.253
21600336,0.553,0.591,0.241,98.7,110.5,-11.8,79.75,0.155
21600353,0.667,0.727,0.333,135.7,96.5,39.2,83.29,0.242
21600383,0.559,0.647,0.286,110.5,102.7,7.8,82.15,0.146
21600387,0.542,0.634,0.234,117.9,92.9,25,81.65,0.295
21600412,0.55,0.597,0.193,124.5,82,42.5,80.98,0.107
21600425,0.333,0.507,0.325,106.7,106.7,0,82.53,0.101
21600441,0.447,0.566,0.341,97.1,108.7,-11.6,81.01,0.19
21600454,0.767,0.851,0.31,126.2,108.2,18,76.95,0.232
21600458,0.607,0.713,0.224,131.5,102.8,28.7,77.07,0.191
21600508,0.292,0.431,0.232,113.3,127.1,-13.8,84.56,0.043
21600525,0.875,0.88,0.241,142.6,73.6,69,75.98,0.262
21600543,0.553,0.578,0.275,140.3,104.2,36.1,79.55,0.119
21600558,0.472,0.503,0.3,103.2,98.4,4.8,76.03,0.082
21600575,0.688,0.735,0.23,113.9,111.6,2.3,78.25,0.212
21600588,0.885,0.914,0.276,158.5,109.6,48.9,80.46,0.259
21600605,0.65,0.726,0.394,101.5,110.4,-8.9,81.54,0.311
21600625,0.765,0.811,0.253,118.3,110.8,7.4,85.57,0.203
21600639,0.591,0.666,0.346,131.9,108.2,23.7,80.44,0.185
21600657,0.55,0.612,0.392,114.3,108.6,5.7,80.03,0.158
21600701,0.438,0.576,0.312,106,107.8,-1.8,86.09,0.151
21600717,0.5,0.585,0.298,100,111.8,-11.8,81.47,0.119
21600727,0.519,0.584,0.363,107.5,106.5,1,88.22,0.226
21600744,0.471,0.495,0.348,98.3,83.3,15,94.13,0.191
21600762,0.5,0.575,0.26,117.6,89.9,27.8,86.16,0.171
21600782,0.583,0.701,0.338,127.5,107.2,20.3,74.96,0.211
21600801,0.568,0.616,0.364,113.6,87.7,25.9,79.73,0.239
21600817,0.5,0.565,0.417,104.3,102.9,1.5,77.87,0.25
21600825,0.609,0.635,0.31,128.6,110.8,17.8,77.55,0.208
21600834,0.5,0.557,0.339,119.2,90.2,29,75.97,0.186
21600865,0.438,0.515,0.348,112.1,115.5,-3.4,75.19,0.095
21600874,0.556,0.606,0.371,117.9,82.8,35.1,89.31,0.156
21600902,0.568,0.629,0.366,93.8,107.6,-13.8,75.4,0.299
21600917,0.442,0.51,0.348,98.8,95.1,3.7,82,0.213
21600925,0.46,0.561,0.32,106.1,84.1,22,74.68,0.313
21600942,0.778,0.854,0.267,120,116.5,3.5,81.54,0.253
21600962,0.4,0.525,0.328,113,112.7,0.2,82.67,0.095
21600994,0.479,0.546,0.351,110.6,101.2,9.4,86.52,0.092
21601011,0.667,0.706,0.321,119.2,119.2,0,79.96,0.22
21601033,0.467,0.58,0.315,103.1,121.5,-18.5,71.33,0.142
21601042,0.292,0.41,0.233,142.9,110.4,32.4,74.09,0.058
21601056,0.538,0.632,0.29,98.4,92.2,6.3,83.25,0.202
21601070,0.5,0.525,0.263,113.4,113.8,-0.4,69.14,0.112
