game_id,player,season,date,team,opponent,location,city,w_l,route,distance,tz,flight_time,team_rest,player_rest,games_played,mins,pts,shift_hrs,fgm,fga,pct_fg,fg3m,fg3a,pct_fg3,pct_ft,fg2m,fg2a,pct_fg2,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,plusminus,b2b,b2b_1st,b2b_2nd,x3in4,x4in5,x5in7,traveling_west,traveling_east,pctEFG,pctTS,pctUSG,ortg,drtg,netrtg,pacePer40PACE_PER40,ratioPIE
21100501,Kawhi Leonard,2011-12,2012-02-23,San Antonio Spurs,Denver Nuggets,Away,Denver,W,Portland - Denver,986,America/Denver,~2.19 hours,1,1,34,2,2,1,1,1,1,0,0,0,NA,1,1,1,0,0,0,1,1,0,0,0,0,0,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,1,0.333,266.7,33.3,233.3,57.6,0.667
21100535,Kawhi Leonard,2011-12,2012-03-02,San Antonio Spurs,Charlotte Bobcats,Home,San Antonio,W,No Travel,0,America/Chicago,-,1,7,35,17,10,0,2,5,0.4,0,2,0,1,2,3,0.6666666666666666,6,6,2,3,5,0,3,0,1,1,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,0.654,0.22,109.1,83.9,25.2,74.35,0.381
21100553,Kawhi Leonard,2011-12,2012-03-04,San Antonio Spurs,Denver Nuggets,Home,San Antonio,L,No Travel,0,America/Chicago,-,1,1,36,23,13,0,2,5,0.4,1,3,0.3333333333333333,0.889,1,2,0.5,8,9,1,5,6,1,1,1,0,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,0.725,0.196,107,97.6,9.4,75.47,0.24
21100578,Kawhi Leonard,2011-12,2012-03-07,San Antonio Spurs,New York Knicks,Home,San Antonio,W,No Travel,0,America/Chicago,-,2,2,37,25,10,0,4,4,1,0,0,0,0.667,4,4,1,2,3,1,5,6,0,3,0,0,1,-5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.94,0.085,113.2,125,-11.8,85.14,0.143
21100591,Kawhi Leonard,2011-12,2012-03-09,San Antonio Spurs,Los Angeles Clippers,Home,San Antonio,L,No Travel,0,America/Chicago,-,1,1,38,20,10,0,4,6,0.667,2,2,1,NA,2,4,0.5,0,0,3,3,6,1,0,0,2,2,-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.833,0.833,0.178,104.8,116.3,-11.5,84.66,0.12
21100614,Kawhi Leonard,2011-12,2012-03-12,San Antonio Spurs,Washington Wizards,Home,San Antonio,W,No Travel,0,America/Chicago,-,2,2,39,27,7,0,3,6,0.5,1,4,0.25,NA,2,2,1,0,0,2,5,7,0,2,0,0,0,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.583,0.583,0.095,123.6,96.4,27.3,80.15,0.106
21100633,Kawhi Leonard,2011-12,2012-03-14,San Antonio Spurs,Orlando Magic,Home,San Antonio,W,No Travel,0,America/Chicago,-,1,1,40,31,12,0,4,5,0.8,2,2,1,1,2,3,0.6666666666666666,2,2,1,5,6,2,2,0,0,3,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1.02,0.088,145,113.3,31.7,77.17,0.126
21100649,Kawhi Leonard,2011-12,2012-03-16,San Antonio Spurs,Oklahoma City Thunder,Away,Oklahoma City,W,San Antonio - Oklahoma City,420,America/Chicago,~56 minutes,1,1,41,39,15,0,5,9,0.556,2,4,0.5,0.75,3,5,0.6,3,4,3,2,5,2,3,0,2,1,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.667,0.697,0.134,107.6,103.8,3.7,80.56,0.124
21100659,Kawhi Leonard,2011-12,2012-03-17,San Antonio Spurs,Dallas Mavericks,Away,Dallas,L,Oklahoma City - Dallas,190,America/Chicago,~55 minutes,0,0,42,30,5,0,2,6,0.333,1,4,0.25,NA,1,2,0.5,0,0,1,4,5,2,2,0,1,2,-10,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.417,0.417,0.121,110.9,122.4,-11.5,76.14,0.052
21100690,Kawhi Leonard,2011-12,2012-03-21,San Antonio Spurs,Minnesota Timberwolves,Home,San Antonio,W,Dallas - San Antonio,252,America/Chicago,~55 minutes,3,3,43,38,16,0,6,10,0.6,1,2,0.5,0.75,5,8,0.625,3,4,3,6,9,1,1,1,0,3,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.68,0.121,111.4,95,16.4,84.5,0.128
21100707,Kawhi Leonard,2011-12,2012-03-23,San Antonio Spurs,Dallas Mavericks,Home,San Antonio,W,No Travel,0,America/Chicago,-,1,1,44,27,12,0,6,8,0.75,0,2,0,NA,6,6,1,0,0,2,6,8,0,1,1,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0.75,0.133,90.4,88.7,1.7,78.61,0.219
