Date,Team,Season,Month,Week,Opponent,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,team_id,game_id,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,score_diff
2016-11-04,Los Angeles Lakers,2016-17,Nov,45,Golden State Warriors,FALSE,Los Angeles,TRUE,1941,Atlanta - Los Angeles,1,America/Los_Angeles,-3,West,34.11,-118.41,No,No,No,Yes,No,No,3.53,1610612747,21600078,45,95,0.474,8,30,0.267,19,21,0.905,16,35,51,26,16,9,5,3,19,13,117,20
2016-11-04,Memphis Grizzlies,2016-17,Nov,45,Los Angeles Clippers,FALSE,Memphis,FALSE,0,No Travel,1,America/Chicago,0,-,35.11,-90.01,No,No,No,Yes,No,Yes,0,1610612763,21600074,31,84,0.369,9,26,0.346,17,22,0.773,13,35,48,26,19,4,9,6,28,23,88,-11
2016-11-04,Miami Heat,2016-17,Nov,45,Toronto Raptors,TRUE,Toronto,FALSE,1236,Miami - Toronto,2,America/Toronto,0,-,43.65,-79.38,No,No,No,No,No,No,2.25,1610612748,21600071,34,88,0.386,9,28,0.321,10,15,0.667,12,31,43,19,13,10,5,5,22,16,87,-9
2016-11-04,New Orleans Pelicans,2016-17,Nov,45,Phoenix Suns,FALSE,New Orleans,FALSE,348,Memphis - New Orleans,1,America/Chicago,0,-,30.07,-89.93,No,No,No,Yes,No,No,1,1610612740,21600075,43,94,0.457,10,30,0.333,15,28,0.536,6,37,43,28,9,7,13,2,21,27,111,-1
2016-11-04,New York Knicks,2016-17,Nov,45,Chicago Bulls,TRUE,Chicago,TRUE,718,New York - Chicago,1,America/Chicago,-1,West,41.84,-87.68,No,No,No,Yes,No,No,1.31,1610612752,21600073,46,89,0.517,9,21,0.429,16,21,0.762,11,29,40,32,5,7,2,4,23,16,117,13
2016-11-04,Phoenix Suns,2016-17,Nov,45,New Orleans Pelicans,TRUE,New Orleans,TRUE,1320,Phoenix - New Orleans,1,America/Chicago,1,East,30.07,-89.93,No,No,No,No,No,No,2.4,1610612756,21600075,40,93,0.43,8,24,0.333,24,28,0.857,12,47,59,18,16,7,2,13,27,21,112,1
2016-11-04,Portland Trail Blazers,2016-17,Nov,45,Dallas Mavericks,TRUE,Dallas,TRUE,886,Phoenix - Dallas,1,America/Chicago,1,East,32.79,-96.77,No,No,No,Yes,No,No,1.61,1610612757,21600076,36,80,0.45,12,31,0.387,21,26,0.808,7,35,42,21,14,9,3,3,20,21,105,10
2016-11-04,San Antonio Spurs,2016-17,Nov,45,Utah Jazz,TRUE,Salt Lake City,TRUE,1087,San Antonio - Salt Lake City,2,America/Denver,-1,West,40.78,-111.93,Yes,Yes,No,No,No,No,1.98,1610612759,21600077,37,83,0.446,6,20,0.3,20,22,0.909,9,40,49,17,11,9,8,4,25,19,100,14
2016-11-04,Toronto Raptors,2016-17,Nov,45,Miami Heat,FALSE,Toronto,TRUE,350,Washington - Toronto,1,America/Toronto,0,-,43.65,-79.38,No,No,No,No,No,No,1,1610612761,21600071,37,84,0.44,6,25,0.24,16,18,0.889,13,37,50,14,16,7,5,5,16,22,96,9
2016-11-04,Utah Jazz,2016-17,Nov,45,San Antonio Spurs,FALSE,Salt Lake City,FALSE,0,No Travel,1,America/Denver,0,-,40.78,-111.93,No,No,No,Yes,No,No,0,1610612762,21600077,30,80,0.375,11,26,0.423,15,24,0.625,9,33,42,15,12,7,4,8,19,25,86,-14
