Opponent,Team,Date,Season,Month,Week,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,game_id,matchup,score_diff,traveling_west,traveling_east,avg_score_diff_home,avg_score_diff_away,adjusted_score_diff,w,l,w_lpercent,ps_g,pa_g,opp_win_percent,win_percent_diff,off_rating,def_rating,net_rating,pace,opp_off_rating,opp_def_rating,opp_net_rating,opp_pace,net_rating_diff,pace_diff
Philadelphia 76ers,San Antonio Spurs,2015-12-07,2015-16,Dec,49,TRUE,Philadelphia,TRUE,1509,San Antonio - Philadelphia,1,America/New_York,1,East,40.01,-75.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.74,21500305,SAS @ PHI,51,FALSE,TRUE,13.975609756097562,7.625,43.375,18,4,0.818,100.2,88.3,0.045,0.7729999999999999,109.3,98.2,11.1,94.54,98.4,108.6,-10.2,98.44,21.299999999999997,-3.8999999999999915
Philadelphia 76ers,Detroit Pistons,2016-02-24,2015-16,Feb,8,FALSE,Detroit,TRUE,96,Cleveland - Detroit,1,America/Detroit,0,-,42.38,-83.1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,21500847,DET vs. PHI,20,FALSE,FALSE,5,-4.175,15,29,29,0.5,101.6,100.7,0.14,0.36,105.3,104.9,0.3,95.75,98.4,108.6,-10.2,98.44,10.5,-2.6899999999999977
Philadelphia 76ers,Boston Celtics,2016-01-24,2015-16,Jan,4,TRUE,Philadelphia,TRUE,268,Boston - Philadelphia,1,America/New_York,0,-,40.01,-75.13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,21500656,BOS @ PHI,20,FALSE,FALSE,5.275,0.8536585365853658,19.146341463414632,24,21,0.533,104,100.6,0.133,0.4,105.8,102.5,3.3,99.43,98.4,108.6,-10.2,98.44,13.5,0.9900000000000091
Philadelphia 76ers,Utah Jazz,2015-12-28,2015-16,Dec,52,FALSE,Salt Lake City,TRUE,0,No Travel,1,America/Denver,0,-,40.78,-111.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21500467,UTA vs. PHI,4,FALSE,FALSE,5.512195121951219,-1.85,-1.512195121951219,13,16,0.448,97.2,97.4,0.061,0.387,105,103.2,1.8,91.66,98.4,108.6,-10.2,98.44,12,-6.780000000000001
Philadelphia 76ers,Portland Trail Blazers,2016-03-26,2015-16,Mar,13,FALSE,Portland,TRUE,821,Los Angeles - Portland,1,America/Los_Angeles,0,-,45.54,-122.66,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.49,21501091,POR vs. PHI,3,FALSE,FALSE,5.4,-4.048780487804878,-2.4000000000000004,38,36,0.514,104.5,104,0.123,0.391,107.6,106.8,0.8,97.06,98.4,108.6,-10.2,98.44,11,-1.3799999999999955
Philadelphia 76ers,Denver Nuggets,2016-03-23,2015-16,Mar,12,FALSE,Denver,TRUE,1219,Cleveland - Denver,1,America/Denver,-2,West,39.77,-104.87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.22,21501064,DEN vs. PHI,1,TRUE,FALSE,-2.341463414634146,-4.45,3.341463414634146,30,42,0.417,102.3,104.9,0.125,0.292,104.9,108.2,-3.3,96.34,98.4,108.6,-10.2,98.44,6.8999999999999995,-2.0999999999999943
Philadelphia 76ers,Washington Wizards,2016-03-17,2015-16,Mar,11,TRUE,Philadelphia,TRUE,126,Washington - Philadelphia,0,America/New_York,0,-,40.01,-75.13,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,1,21501013,WAS @ PHI,5,FALSE,FALSE,2.5365853658536586,-3.65,8.65,33,35,0.485,103,104.2,0.132,0.353,104.5,105.1,-0.5,99.16,98.4,108.6,-10.2,98.44,9.7,0.7199999999999989
Philadelphia 76ers,San Antonio Spurs,2015-11-14,2015-16,Nov,46,FALSE,San Antonio,TRUE,1717,Portland - San Antonio,2,America/Chicago,2,East,29.46,-98.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.12,21500142,SAS vs. PHI,9,FALSE,TRUE,13.975609756097562,7.625,-4.975609756097562,7,2,0.778,102.3,91.8,0,0.778,109.3,98.2,11.1,94.54,98.4,108.6,-10.2,98.44,21.299999999999997,-3.8999999999999915
Philadelphia 76ers,Boston Celtics,2016-03-20,2015-16,Mar,12,TRUE,Philadelphia,TRUE,333,Toronto - Philadelphia,1,America/New_York,0,-,40.01,-75.13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,21501039,BOS @ PHI,15,FALSE,FALSE,5.275,0.8536585365853658,14.146341463414634,40,30,0.571,106,102.4,0.129,0.44199999999999995,105.8,102.5,3.3,99.43,98.4,108.6,-10.2,98.44,13.5,0.9900000000000091
Philadelphia 76ers,Dallas Mavericks,2015-11-16,2015-16,Nov,46,TRUE,Philadelphia,TRUE,1344,Houston - Philadelphia,1,America/New_York,1,East,40.01,-75.13,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2.44,21500152,DAL @ PHI,6,FALSE,TRUE,2.3658536585365852,-3.45,9.45,7,4,0.636,100.8,99.5,0,0.636,105.5,105.9,-0.4,95.34,98.4,108.6,-10.2,98.44,9.799999999999999,-3.0999999999999943
