"PlayerPosition","idPlayer","namePlayer"
"G",202340,"Avery Bradley"
"G",202362,"Lance Stephenson"
"G",201936,"Tyreke Evans"
"G",203079,"Dion Waiters"
"G",101127,"Jarrett Jack"
"G",200751,"Randy Foye"
"G",201976,"Patrick Beverley"
"G",203504,"Trey Burke"
"G",201945,"Gerald Henderson"
"G",201609,"Goran Dragic"
"G",202341,"James Anderson"
"G",2581,"Steve Blake"
"G",200755,"JJ Redick"
"G",2749,"Jameer Nelson"
"G",201942,"DeMar DeRozan"
"G",201951,"Ty Lawson"
"G",101123,"Gerald Green"
"G",202330,"Gordon Hayward"
"G",201952,"Jeff Teague"
"G",201596,"Mario Chalmers"
"G",201954,"Darren Collison"
"G",203463,"Ben McLemore"
"G",200782,"P.J. Tucker"
"G",200757,"Thabo Sefolosha"
"G",2548,"Dwyane Wade"
"G",203492,"Ray McCallum"
"G",203507,"Giannis Antetokounmpo"
"G",2207,"Joe Johnson"
"G",1713,"Vince Carter"
"G",2755,"Kevin Martin"
"G",2733,"Shaun Livingston"
"G",202697,"Iman Shumpert"
"G",201571,"D.J. Augustin"
"G",201156,"Nick Young"
"G",203088,"Kendall Marshall"
"G",203489,"Nate Wolters"
"G",2590,"Mo Williams"
"G",200765,"Rajon Rondo"
"G",2747,"JR Smith"
"G",101110,"Martell Webster"
"G",201166,"Aaron Brooks"
"G",951,"Ray Allen"
"G",2037,"Jamal Crawford"
"G",201155,"Rodney Stuckey"
"G",201196,"Ramon Sessions"
"G",201158,"Marco Belinelli"
"G",203138,"Hollis Thompson"
"G",200770,"Jordan Farmar"
"G",201584,"Courtney Lee"
"G",202714,"Shelvin Mack"
"G",203148,"Brian Roberts"
"G",203501,"Tim Hardaway Jr."
"G",201564,"O.J. Mayo"
"G",201566,"Russell Westbrook"
"G",201573,"Jerryd Bayless"
"G",203087,"Jeremy Lamb"
"G",101128,"Francisco Garcia"
"G",202333,"Xavier Henry"
"G",203521,"Matthew Dellavedova"
"G",101150,"Lou Williams"
"G",202412,"Manny Harris"
"G",202349,"Greivis Vasquez"
"G",203100,"Tony Wroten"
"G",203095,"Evan Fournier"
"G",201569,"Eric Gordon"
"G",202706,"Jordan Hamilton"
"G",2757,"Beno Udrih"
"G",201604,"Chris Douglas-Roberts"
"G",2422,"John Salmons"
"G",202390,"Gary Neal"
"G",959,"Steve Nash"
"G",202709,"Cory Joseph"
"G",101187,"Alan Anderson"
"G",2754,"Tony Allen"
"G",202348,"Jordan Crawford"
"G",101139,"CJ Miles"
"G",203187,"Chris Johnson"
"G",1938,"Manu Ginobili"
"G",201977,"Marcus Thornton"
"G",202734,"E'Twaun Moore"
"G",101126,"Nate Robinson"
"G",2734,"Devin Harris"
"G",201988,"Patty Mills"
"G",201228,"C.J. Watson"
"G",203085,"Austin Rivers"
"G",203484,"Kentavious Caldwell-Pope"
"G",203145,"Kent Bazemore"
"G",202708,"Norris Cole"
"G",203268,"Jorge Gutierrez"
"G",203584,"Troy Daniels"
"G",2557,"Luke Ridnour"
"G",203143,"Pablo Prigioni"
"G",101198,"Will Bynum"
"G",202397,"Ish Smith"
"G",200826,"J.J. Barea"
"G",203318,"Glen Rice"
"G",201627,"Anthony Morrow"
"G",965,"Derek Fisher"
"G",203460,"Andre Roberson"
"G",203130,"Darius Johnson-Odom"
"G",2592,"James Jones"
"G",203477,"Isaiah Canaan"
"G",201979,"Nick Calathes"
"G",203503,"Tony Snell"
"G",203116,"Tyshawn Taylor"
"G",1889,"Andre Miller"
"G",203197,"Diante Garrett"
"G",2584,"Willie Green"
"G",201962,"Toney Douglas"
"G",203468,"CJ McCollum"
"G",203098,"John Jenkins"
"G",203515,"Phil Pressey"
"G",203471,"Dennis Schroder"
"G",203104,"Marquis Teague"
"G",1891,"Jason Terry"
"G",1497,"Chauncey Billups"
"G",2571,"Leandro Barbosa"
"G",2248,"Earl Watson"
"G",203491,"Peyton Siva"
"G",202066,"Garrett Temple"
"G",203499,"Shane Larkin"
"G",2756,"Sasha Vujacic"
"G",203493,"Reggie Bullock"
"G",202343,"Elliot Williams"
"G",2457,"Jannero Pargo"
"G",101249,"John Lucas III"
"G",202721,"Darius Morris"
"G",101179,"Ronnie Price"
"G",201575,"Brandon Rush"
"G",201961,"Wayne Ellington"
"G",203115,"Will Barton"
"G",203539,"Gal Mekel"
"G",202690,"Jimmer Fredette"
"G",203810,"Casper Ware"
"G",203111,"Orlando Johnson"
"G",203479,"Jamaal Franklin"
"G",2732,"Ben Gordon"
"G",203144,"Alexey Shved"
"G",2224,"Jamaal Tinsley"
"G",203462,"Archie Goodwin"
"G",200769,"Shannon Brown"
"G",2586,"Keith Bogans"
"G",202933,"Julyan Stone"
"G",1536,"Stephen Jackson"
"G",201986,"Nando De Colo"
"G",2446,"Rasual Butler"
"G",2427,"Roger Mason Jr."
"G",203508,"Sergey Karasev"
"G",202388,"Donald Sloan"
"G",203569,"Chris Babb"
"G",201953,"Eric Maynor"
"G",203485,"Lorenzo Brown"
"G",203315,"Toure' Murry"
"G",202705,"MarShon Brooks"
"G",203099,"Jared Cunningham"
"G",203117,"Doron Lamb"
"G",2229,"Mike James"
"G",203517,"Nemanja Nedovic"
"G",202779,"Dwight Buycks"
"G",203467,"Carrick Felix"
"G",202091,"Dionte Christmas"
"G",2735,"Josh Childress"
"G",201785,"Othyus Jeffers"
"G",203546,"Ian Clark"
"G",203459,"Allen Crabbe"
"G",201985,"AJ Price"
"G",203552,"Seth Curry"
"G",203519,"Adonis Thomas"
"G",203505,"Vander Blue"
"G",201203,"Mustafa Shakur"
"G",203495,"Ricky Ledo"
"G",203474,"DJ Stephens"
"G",203146,"Maalik Wayns"
"G",203816,"Scotty Hopson"
"G",2767,"Royal Ivey"
"G",203952,"Andrew Wiggins"
"G",204038,"Langston Galloway"
"G",203901,"Elfrid Payton"
"G",203114,"Khris Middleton"
"G",203082,"Terrence Ross"
"G",204020,"Tyler Johnson"
"G",202347,"Quincy Pondexter"
"G",203935,"Marcus Smart"
"G",203903,"Jordan Clarkson"
"G",201147,"Corey Brewer"
"G",202711,"Bojan Bogdanovic"
"G",203897,"Zach LaVine"
"G",203909,"KJ McDaniels"
"G",204025,"Tim Frazier"
"G",201162,"Jared Dudley"
"G",203913,"Jabari Brown"
"G",2202,"Jason Richardson"
"G",203957,"Dante Exum"
"G",203918,"Rodney Hood"
"G",204065,"David Stockton"
"G",203894,"Shabazz Napier"
"G",203917,"Nik Stauskas"
"G",203960,"JaKarr Sampson"
"G",101122,"Danny Granger"
"G",1890,"Shawn Marion"
"G",203900,"Markel Brown"
"G",202407,"Elijah Millsap"
"G",203580,"Larry Drew II"
"G",204060,"Joe Ingles"
"G",2742,"Sebastian Telfair"
"G",203798,"PJ Hairston"
"G",2034,"Mike Miller"
"G",203914,"Gary Harris"
"G",201991,"Lester Hudson"
"G",203925,"Joe Harris"
"G",203200,"Justin Holiday"
"G",202361,"Landry Fields"
"G",203898,"Tyler Ennis"
"G",203922,"Glenn Robinson III"
"G",203910,"Nick Johnson"
"G",203919,"Jordan Adams"
"G",203955,"Bryce Cotton"
"G",203915,"Spencer Dinwiddie"
"G",203930,"Sean Kilpatrick"
"G",203475,"Erick Green"
"G",203805,"Will Cherry"
"G",203923,"James Young"
"G",203565,"Patrick Christopher"
"G",203564,"Kalin Lucas"
"G",2563,"Dahntay Jones"
"G",203893,"Russ Smith"
"G",203958,"Andre Dawkins"
"G",204054,"Zoran Dragic"
"G",203912,"C.J. Wilcox"
"G",202077,"Jerel McNeal"
"G",1626144,"Emmanuel Mudiay"
"G",1627362,"Briante Weber"
"G",1626156,"D'Angelo Russell"
"G",201587,"Nicolas Batum"
"G",1626164,"Devin Booker"
"G",1626178,"Rondae Hollis-Jefferson"
"G",1626196,"Josh Richardson"
"G",202325,"Wesley Johnson"
"G",2399,"Mike Dunleavy"
"G",203526,"Raul Neto"
"G",1626214,"Bryce Dejean-Jones"
"G",204456,"T.J. McConnell"
"G",1626181,"Norman Powell"
"G",1626209,"Mario Hezonja"
"G",1626170,"Jerian Grant"
"G",1626273,"Marcelo Huertas"
"G",1626253,"Axel Toupane"
"G",1626145,"Tyus Jones"
"G",204098,"Xavier Munford"
"G",1626166,"Cameron Payne"
"G",1626173,"Rashad Vaughn"
"G",1626147,"Justin Anderson"
"G",203613,"Jonathon Simmons"
"G",203934,"Lamar Patterson"
"G",1626202,"Joe Young"
"G",203895,"Jordan McRae"
