"","isActive","isRookie","namePlayer","idPlayer","countSeasons","yearSeasonFirst","yearSeasonLast"
"444",FALSE,FALSE,"Marques Bragg",66,0,1995,1995
"445",FALSE,FALSE,"Torraye Braggs",1765,1,2003,2004
"446",FALSE,FALSE,"A.J. Bramlett",1920,0,1999,1999
"447",FALSE,FALSE,"Adrian Branch",76237,3,1986,1989
"448",FALSE,FALSE,"Elton Brand",1882,16,1999,2015
"449",FALSE,FALSE,"Terrell Brandon",210,11,1991,2002
"450",FALSE,FALSE,"Bob Brannum",76238,5,1949,1954
"451",FALSE,FALSE,"Brad Branson",76239,1,1981,1982
"452",FALSE,FALSE,"Jesse Branson",76240,0,1965,1965
"453",TRUE,FALSE,"Jarrell Brantley",1629714,1,2019,2020
"454",FALSE,FALSE,"Jim Brasco",76241,0,1952,1952
"455",FALSE,FALSE,"Mike Bratz",76242,8,1977,1985
"456",FALSE,FALSE,"Carl Braun",76243,14,1947,1961
"457",TRUE,FALSE,"Ignas Brazdeikis",1629649,1,2019,2020
"458",FALSE,FALSE,"Tim Breaux",160,3,1994,1997
"459",FALSE,FALSE,"J.R. Bremer",2452,1,2002,2003
"460",FALSE,FALSE,"Pete Brennan",76245,0,1958,1958
"461",FALSE,FALSE,"Tom Brennan",76246,0,1954,1954
"462",FALSE,FALSE,"Randy Breuer",76247,10,1983,1993
"463",FALSE,FALSE,"Corey Brewer",201147,12,2007,2019
"464",FALSE,FALSE,"Jamison Brewer",2249,3,2001,2004
"465",FALSE,FALSE,"Jim Brewer",76248,8,1973,1981
"466",FALSE,FALSE,"Ron Brewer",76249,7,1978,1985
"467",FALSE,FALSE,"Ronnie Brewer",200758,7,2006,2013
"468",FALSE,FALSE,"Primoz Brezec",2056,8,2001,2009
"469",FALSE,FALSE,"Frank Brian",76250,6,1949,1955
"470",FALSE,FALSE,"Frank Brickowski",783,12,1984,1996
"471",FALSE,FALSE,"Junior Bridgeman",76252,11,1975,1986
"472",FALSE,FALSE,"Bill Bridges",76253,12,1962,1974
"473",TRUE,FALSE,"Mikal Bridges",1628969,2,2018,2020
"474",TRUE,FALSE,"Miles Bridges",1628970,2,2018,2020
"475",FALSE,FALSE,"Al Brightman",76254,0,1946,1946
