"","test_actual","test_fold","type","test_preds"
"355",-2.2,"6","sn_net_rating_diff",-1.3992290856955
"356",-2.2,"6","w60_en",-2.40371943386233
"357",-2.2,"6","w_40",-1.03277699188675
"358",-2.2,"6","w40_t",-1.40068560737334
"359",-2.2,"6","w40_td",-0.555637243218975
"360",-2.2,"6","w60_tf",-2.94790542792197
"361",12.6,"6","sn_net_rating_diff",5.24921610737477
"362",12.6,"6","w60_en",2.94904882465606
"363",12.6,"6","w_40",4.46253354691789
"364",12.6,"6","w40_t",3.65312920334673
"365",12.6,"6","w40_td",2.31683742500464
"366",12.6,"6","w60_tf",3.79739029810189
"367",-2.5,"6","sn_net_rating_diff",-13.9252852465525
"368",-2.5,"6","w60_en",-11.6217817782052
"369",-2.5,"6","w_40",-13.5385743889765
"370",-2.5,"6","w40_t",-12.5477155685808
"371",-2.5,"6","w40_td",-12.2513778188264
"372",-2.5,"6","w60_tf",-11.1265563974612
"373",3.2,"6","sn_net_rating_diff",-1.88100047649769
"374",3.2,"6","w60_en",-2.42340096658712
"375",3.2,"6","w_40",-2.02281522542666
"376",3.2,"6","w40_t",-1.88348601903407
"377",3.2,"6","w40_td",-1.98422087394401
"378",3.2,"6","w60_tf",-1.4816147967076
"379",-15.9,"6","sn_net_rating_diff",-3.80808603970646
"380",-15.9,"6","w60_en",-2.78231633353179
"381",-15.9,"6","w_40",-3.78564072163528
"382",-15.9,"6","w40_t",-3.07729589141567
"383",-15.9,"6","w40_td",-3.29394235551266
"384",-15.9,"6","w60_tf",-1.10122022618709
"385",-21.1,"6","sn_net_rating_diff",-11.2273654580602
"386",-21.1,"6","w60_en",-9.05671048182521
"387",-21.1,"6","w_40",-10.9485658758555
"388",-21.1,"6","w40_t",-10.4052895516381
"389",-21.1,"6","w40_td",-10.261250384981
"390",-21.1,"6","w60_tf",-6.97038514096235
"391",-17.6,"6","sn_net_rating_diff",-17.3940392603283
"392",-17.6,"6","w60_en",-15.3812978545167
"393",-17.6,"6","w_40",-16.215538177612
"394",-17.6,"6","w40_t",-16.649290508792
"395",-17.6,"6","w40_td",-15.7415673036515
"396",-17.6,"6","w60_tf",-15.5853500198244
"397",-13.4,"6","sn_net_rating_diff",0.431502199352837
"398",-13.4,"6","w60_en",-0.792760642517419
"399",-13.4,"6","w_40",0.319352520314524
"400",-13.4,"6","w40_t",0.503429478793259
"401",-13.4,"6","w40_td",0.69231892441689
"402",-13.4,"6","w60_tf",0.655941365532745
"403",-8.7,"6","sn_net_rating_diff",-11.3237197362207
"404",-8.7,"6","w60_en",-9.87650308742971
"405",-8.7,"6","w_40",-11.0013909416297
"406",-8.7,"6","w40_t",-11.4818886366754
"407",-8.7,"6","w40_td",-11.6616793217214
"408",-8.7,"6","w60_tf",-10.3961522332662
"409",-14.3,"6","sn_net_rating_diff",-0.43568630409111
"410",-14.3,"6","w60_en",-1.21863664380377
"411",-14.3,"6","w_40",-0.217476187098132
"412",-14.3,"6","w40_t",-1.06627265628902
"413",-14.3,"6","w40_td",-0.318158537727201
"414",-14.3,"6","w60_tf",-3.42464538561958
"415",-12.1,"6","sn_net_rating_diff",-2.94089753626251
"416",-12.1,"6","w60_en",-2.50810130166266
"417",-12.1,"6","w_40",-2.50783086036532
"418",-12.1,"6","w40_t",-2.06388595986052
"419",-12.1,"6","w40_td",-0.839553582148406
"420",-12.1,"6","w60_tf",-2.38247375647175
"421",4.1,"6","sn_net_rating_diff",-11.5164282925415
"422",4.1,"6","w60_en",-9.78777047034212
"423",4.1,"6","w_40",-11.6415872131496
"424",4.1,"6","w40_t",-11.2520920923277
"425",4.1,"6","w40_td",-11.8633609035963
"426",4.1,"6","w60_tf",-9.04975270191308
"427",4.3,"6","sn_net_rating_diff",4.96015327289345
"428",4.3,"6","w60_en",3.80517982971702
"429",4.3,"6","w_40",4.79528327314867
"430",4.3,"6","w40_t",5.04409080403184
"431",4.3,"6","w40_td",6.00294434022386
"432",4.3,"6","w60_tf",3.52798800317882
"433",5.6,"6","sn_net_rating_diff",-0.821103416732864
"434",5.6,"6","w60_en",-1.09658829568084
"435",5.6,"6","w_40",-0.808873035981712
"436",5.6,"6","w40_t",-0.791281597421032
"437",5.6,"6","w40_td",-0.781558397436815
"438",5.6,"6","w60_tf",0.291705596540607
"439",6.4,"6","sn_net_rating_diff",-2.94089753626251
"440",6.4,"6","w60_en",-2.83765068162314
"441",6.4,"6","w_40",-3.1889157236973
"442",6.4,"6","w40_t",-2.77931234969543
"443",6.4,"6","w40_td",-3.43578385390303
"444",6.4,"6","w60_tf",-1.42072689665693
"445",2.1,"6","sn_net_rating_diff",6.21275888897915
"446",2.1,"6","w60_en",4.78218738657256
"447",2.1,"6","w_40",6.08398568330521
"448",2.1,"6","w40_t",5.84970877434391
"449",2.1,"6","w40_td",5.94985467493358
