"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","season"
1610612742,"DAL","Dallas Mavericks",81,32,49,241.24,241.24,88523.12,16.77,9.21,7.55,4.18,4.4,3.94,2016
1610612743,"DEN","Denver Nuggets",81,39,42,240.92,240.92,88637.78,16.79,9.14,7.65,4.19,4.57,3.81,2016
1610612765,"DET","Detroit Pistons",82,37,45,241.52,241.52,90922.7,17.22,9.25,7.97,4.29,4.62,3.95,2016
1610612744,"GSW","Golden State Warriors",82,67,15,241.22,241.22,89925,17.03,8.91,8.12,4.24,4.7,3.83,2016
1610612745,"HOU","Houston Rockets",82,55,27,241.22,241.22,87283.74,16.53,8.54,7.99,4.12,4.44,3.83,2016
1610612754,"IND","Indiana Pacers",81,42,39,242.16,242.16,88170.81,16.7,8.85,7.85,4.15,4.4,3.89,2016
1610612746,"LAC","LA Clippers",82,51,31,240.91,240.91,86282.35,16.34,8.7,7.64,4.08,4.28,3.87,2016
1610612747,"LAL","Los Angeles Lakers",82,26,56,240.3,240.3,90744.35,17.19,9.26,7.92,4.3,4.66,3.95,2016
1610612763,"MEM","Memphis Grizzlies",82,43,39,242.74,242.74,87364.1,16.55,9,7.55,4.1,4.29,3.89,2016
1610612748,"MIA","Miami Heat",82,41,41,241.22,241.22,90488.56,17.14,9.4,7.74,4.27,4.56,3.97,2016
1610612749,"MIL","Milwaukee Bucks",82,42,40,241.22,241.22,88579.51,16.78,8.74,8.04,4.19,4.45,3.94,2016
1610612750,"MIN","Minnesota Timberwolves",82,31,51,241.52,241.52,89395.74,16.93,9.06,7.87,4.21,4.42,4,2016
1610612740,"NOP","New Orleans Pelicans",82,34,48,242.74,242.74,90246.72,17.09,8.98,8.11,4.23,4.62,3.88,2016
1610612752,"NYK","New York Knicks",82,31,51,242.13,242.13,90613.63,17.16,9.25,7.92,4.26,4.55,3.96,2016
1610612760,"OKC","Oklahoma City Thunder",82,47,35,241.52,241.52,89865.66,17.02,8.87,8.15,4.24,4.6,3.92,2016
1610612753,"ORL","Orlando Magic",82,29,53,241.52,241.52,89596.13,16.97,8.97,8,4.23,4.54,3.94,2016
1610612755,"PHI","Philadelphia 76ers",82,28,54,241.83,241.83,94652.37,17.93,9.89,8.03,4.46,4.9,4.01,2016
1610612756,"PHX","Phoenix Suns",80,23,57,241.87,241.87,90042.53,17.05,9,8.06,4.25,4.6,3.92,2016
1610612757,"POR","Portland Trail Blazers",82,41,41,243.05,243.05,91287.79,17.29,9.5,7.78,4.28,4.64,3.91,2016
1610612758,"SAC","Sacramento Kings",82,32,50,242.44,242.44,89312.1,16.92,9.14,7.78,4.2,4.42,3.96,2016
1610612759,"SAS","San Antonio Spurs",81,61,20,241.54,241.54,91907.32,17.41,9.56,7.84,4.34,4.68,3.98,2016
1610612761,"TOR","Toronto Raptors",81,50,31,241.23,241.23,89311.54,16.92,9.08,7.83,4.22,4.47,3.96,2016
1610612762,"UTA","Utah Jazz",82,51,31,240.91,240.91,89162.72,16.89,9.3,7.58,4.22,4.48,3.94,2016
1610612764,"WAS","Washington Wizards",82,49,33,242.13,242.13,88187.39,16.7,8.69,8.01,4.15,4.42,3.9,2016
1610612737,"ATL","Atlanta Hawks",81,24,57,240.31,240.31,92950.23,17.6,9.56,8.05,4.41,4.75,4.07,2017
1610612738,"BOS","Boston Celtics",79,52,27,241.58,241.58,90138.85,17.07,9.13,7.94,4.25,4.5,3.99,2017
1610612751,"BKN","Brooklyn Nets",80,27,53,242.19,242.19,91892.3,17.4,9.58,7.82,4.32,4.65,3.99,2017
1610612766,"CHA","Charlotte Hornets",82,36,46,241.22,241.22,92011.28,17.43,9.47,7.96,4.35,4.67,4.01,2017
1610612741,"CHI","Chicago Bulls",82,27,55,242.13,242.13,94851.3,17.96,9.57,8.39,4.47,4.9,4.06,2017
1610612739,"CLE","Cleveland Cavaliers",82,50,32,240.61,240.61,88955.88,16.85,8.83,8.01,4.21,4.44,3.99,2017
1610612742,"DAL","Dallas Mavericks",82,24,58,241.52,241.52,90945.93,17.22,9.47,7.76,4.29,4.58,3.99,2017
1610612743,"DEN","Denver Nuggets",82,46,36,242.44,242.44,89230.48,16.9,9.15,7.75,4.25,4.59,3.92,2017
1610612765,"DET","Detroit Pistons",82,39,43,241.52,241.52,93385.79,17.69,9.55,8.14,4.42,4.76,4.08,2017
1610612744,"GSW","Golden State Warriors",82,58,24,240.61,240.61,90117.91,17.07,8.96,8.11,4.29,4.7,3.9,2017
1610612745,"HOU","Houston Rockets",82,65,17,240.91,240.91,85021.82,16.1,8.49,7.62,4.02,4.24,3.8,2017
1610612754,"IND","Indiana Pacers",82,48,34,240.91,240.91,91961.07,17.42,9.14,8.27,4.36,4.6,4.13,2017
1610612746,"LAC","LA Clippers",82,42,40,240.31,240.31,89653.9,16.98,8.94,8.04,4.25,4.55,3.96,2017
1610612747,"LAL","Los Angeles Lakers",82,35,47,242.74,242.74,92127.12,17.45,9.17,8.28,4.38,4.79,3.99,2017
1610612763,"MEM","Memphis Grizzlies",82,22,60,240.3,240.3,89151.04,16.88,9.16,7.72,4.24,4.51,3.97,2017
1610612748,"MIA","Miami Heat",81,43,38,243.09,243.09,92789.17,17.57,9.51,8.06,4.34,4.6,4.07,2017
1610612749,"MIL","Milwaukee Bucks",81,44,37,241.85,241.85,89568.84,16.96,8.69,8.27,4.24,4.51,3.99,2017
1610612750,"MIN","Minnesota Timberwolves",82,47,35,241.52,241.52,88065.93,16.68,8.91,7.77,4.15,4.29,4,2017
1610612740,"NOP","New Orleans Pelicans",82,48,34,242.17,242.17,89844.04,17.02,8.93,8.08,4.24,4.62,3.89,2017
