"player_id","player_name","team_id","team_abbreviation","gp","w","l","min","drives","drive_fgm","drive_fga","drive_fg_pct","drive_ftm","drive_fta","drive_ft_pct","drive_pts","drive_pts_pct","drive_passes","drive_passes_pct","drive_ast","drive_ast_pct","drive_tov","drive_tov_pct","drive_pf","drive_pf_pct","date"
2546,"Carmelo Anthony",1610612752,"NYK",1,0,1,28.8,5,1,2,0.5,1,2,0.5,3,0.6,2,0.4,0,0,0,0,1,0.2,"10/29/2014"
2406,"Caron Butler",1610612765,"DET",1,0,1,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
201978,"Chase Budinger",1610612750,"MIN",1,0,1,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
2365,"Chris Andersen",1610612748,"MIA",1,1,0,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
2547,"Chris Bosh",1610612748,"MIA",1,1,0,39.1,7,2,4,0.5,4,4,1,9,1.286,1,0.143,0,0,0,0,2,0.286,"10/29/2014"
203142,"Chris Copeland",1610612754,"IND",1,1,0,26.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
203187,"Chris Johnson",1610612762,"UTA",1,0,1,32.2,4,2,3,0.667,0,0,0,4,1,1,0.25,0,0,0,0,0,0,"10/29/2014"
2549,"Chris Kaman",1610612757,"POR",1,1,0,21.5,2,1,2,0.5,0,0,0,2,1,0,0,0,0,0,0,0,0,"10/29/2014"
203921,"Cleanthony Early",1610612752,"NYK",1,0,1,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
203469,"Cody Zeller",1610612766,"CHA",1,1,0,19.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"10/29/2014"
202332,"Cole Aldrich",1610612752,"NYK",1,0,1,17,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"10/29/2014"
201147,"Corey Brewer",1610612745,"HOU",1,0,1,26.5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
203928,"Cory Jefferson",1610612751,"BKN",1,0,1,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
201584,"Courtney Lee",1610612763,"MEM",1,1,0,35.5,3,0,2,0,0,0,0,0,0,1,0.333,0,0,0,0,0,0,"10/29/2014"
201571,"D.J. Augustin",1610612760,"OKC",1,0,1,28.2,11,3,3,1,3,4,0.75,9,0.818,4,0.364,1,0.091,1,0.091,2,0.182,"10/29/2014"
203081,"Damian Lillard",1610612757,"POR",1,1,0,29.6,6,1,1,1,0,0,0,3,0.5,4,0.667,0,0,0,0,0,0,"10/29/2014"
204014,"Damjan Rudez",1610612754,"IND",1,1,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
201568,"Danilo Gallinari",1610612743,"DEN",1,1,0,18.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
203957,"Dante Exum",1610612762,"UTA",1,0,1,9.6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"10/29/2014"
201589,"Darrell Arthur",1610612743,"DEN",1,1,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
201954,"Darren Collison",1610612758,"SAC",1,0,1,36.2,7,2,4,0.5,4,4,1,8,1.143,1,0.143,0,0,0,0,2,0.286,"10/29/2014"
201942,"DeMar DeRozan",1610612761,"TOR",1,1,0,35,10,1,3,0.333,1,2,0.5,3,0.3,5,0.5,1,0.1,0,0,1,0.1,"10/29/2014"
202326,"DeMarcus Cousins",1610612758,"SAC",1,0,1,30.8,4,0,1,0,1,2,0.5,1,0.25,0,0,0,0,2,0.5,1,0.25,"10/29/2014"
201960,"DeMarre Carroll",1610612737,"ATL",1,0,1,31.9,4,2,3,0.667,0,0,0,4,1,1,0.25,0,0,0,0,0,0,"10/29/2014"
203471,"Dennis Schroder",1610612737,"ATL",1,0,1,3.6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"10/29/2014"
101114,"Deron Williams",1610612751,"BKN",1,0,1,39.1,13,1,4,0.25,4,4,1,6,0.462,3,0.231,2,0.154,2,0.154,2,0.154,"10/29/2014"
202324,"Derrick Favors",1610612762,"UTA",1,0,1,27.2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"10/29/2014"
