"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","date"
1610612755,"PHI","Philadelphia 76ers",1,0,1,240,240,90494,17.14,8.86,8.28,4.28,4.66,3.98,"11/3/2014"
1610612758,"SAC","Sacramento Kings",1,1,0,240.01,240.01,87882,16.64,9.68,6.96,4.16,4.29,4.04,"11/3/2014"
1610612762,"UTA","Utah Jazz",1,0,1,240,240,88943,16.85,9.44,7.4,4.21,4.53,3.85,"11/3/2014"
1610612766,"CHA","Charlotte Hornets",1,0,1,240,240,89621,16.97,9.39,7.58,4.25,4.61,3.88,"11/4/2014"
1610612741,"CHI","Chicago Bulls",1,1,0,240,240,88046,16.68,8.89,7.78,4.18,4.38,3.97,"11/4/2014"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,88429,16.75,8.83,7.92,4.18,4.23,4.13,"11/4/2014"
1610612745,"HOU","Houston Rockets",1,1,0,240.01,240.01,84955,16.09,8.43,7.66,4.03,4.18,3.88,"11/4/2014"
1610612754,"IND","Indiana Pacers",1,0,1,240,240,87253,16.53,9.2,7.33,4.13,4.26,3.97,"11/4/2014"
1610612747,"LAL","Los Angeles Lakers",1,0,1,240,240,88302,16.72,8.47,8.25,4.18,4.45,3.99,"11/4/2014"
1610612748,"MIA","Miami Heat",1,0,1,240,240,85876,16.26,8.84,7.42,4.08,4.43,3.68,"11/4/2014"
1610612749,"MIL","Milwaukee Bucks",1,1,0,240,240,88423,16.75,8.39,8.36,4.18,4.57,3.89,"11/4/2014"
1610612740,"NOP","New Orleans Pelicans",1,1,0,240,240,87349,16.54,8.84,7.71,4.13,4.49,3.77,"11/4/2014"
1610612752,"NYK","New York Knicks",1,0,1,240,240,88536,16.77,9.25,7.52,4.21,4.53,3.88,"11/4/2014"
1610612760,"OKC","Oklahoma City Thunder",1,0,1,240,240,83718,15.86,8.89,6.97,3.98,4.36,3.59,"11/4/2014"
1610612753,"ORL","Orlando Magic",1,0,1,240,240,86964,16.47,8.97,7.5,4.13,4.58,3.69,"11/4/2014"
1610612756,"PHX","Phoenix Suns",1,1,0,240,240,89289,16.91,9.54,7.37,4.23,4.56,3.87,"11/4/2014"
1610612757,"POR","Portland Trail Blazers",1,1,0,240,240,88631,16.79,9.17,7.62,4.21,4.81,3.65,"11/4/2014"
1610612761,"TOR","Toronto Raptors",1,1,0,240.01,240.01,87212,16.52,8.79,7.73,4.13,4.51,3.77,"11/4/2014"
1610612764,"WAS","Washington Wizards",1,1,0,239.96,239.96,87061,16.49,8.6,7.89,4.13,4.44,3.84,"11/4/2014"
1610612737,"ATL","Atlanta Hawks",1,0,1,240,240,93573,17.72,8.76,8.97,4.43,4.65,4.28,"11/5/2014"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,88239,16.71,9.24,7.47,4.19,4.78,3.64,"11/5/2014"
1610612751,"BKN","Brooklyn Nets",1,0,1,240,240,87171,16.51,8.87,7.64,4.14,4.46,3.81,"11/5/2014"
1610612766,"CHA","Charlotte Hornets",1,1,0,240,240,89277,16.91,9.44,7.47,4.23,4.54,3.9,"11/5/2014"
1610612741,"CHI","Chicago Bulls",1,1,0,240,240,87897,16.65,9.23,7.42,4.15,4.27,4.02,"11/5/2014"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,85655,16.22,8.18,8.04,4.06,4.35,3.8,"11/5/2014"
1610612743,"DEN","Denver Nuggets",1,0,1,240,240,88828,16.82,8.92,7.9,4.21,4.7,3.76,"11/5/2014"
1610612765,"DET","Detroit Pistons",1,1,0,240.01,240.01,85584,16.21,8.76,7.45,4.06,4.38,3.79,"11/5/2014"
1610612744,"GSW","Golden State Warriors",1,1,0,240,240,90079,17.06,8.95,8.11,4.21,4.66,3.8,"11/5/2014"
1610612754,"IND","Indiana Pacers",1,0,1,265.03,265.03,96754,18.32,10.43,7.9,4.15,4.37,3.88,"11/5/2014"
1610612746,"LAC","Los Angeles Clippers",1,0,1,240.01,240.01,89944,17.03,9.28,7.75,4.18,4.36,4.04,"11/5/2014"
1610612763,"MEM","Memphis Grizzlies",1,1,0,240,240,88511,16.76,9.25,7.51,4.2,4.46,3.92,"11/5/2014"
1610612748,"MIA","Miami Heat",1,0,1,240,240,88393,16.74,8.67,8.08,4.18,4.53,3.91,"11/5/2014"
1610612749,"MIL","Milwaukee Bucks",1,0,1,240,240,88345,16.73,8.53,8.2,4.18,4.62,3.81,"11/5/2014"
1610612750,"MIN","Minnesota Timberwolves",1,1,0,240,240,86781,16.44,8.71,7.72,4.11,4.36,3.86,"11/5/2014"
1610612752,"NYK","New York Knicks",1,0,1,240,240,88566,16.77,9.03,7.75,4.21,4.54,3.83,"11/5/2014"
1610612753,"ORL","Orlando Magic",1,1,0,240,240,90138,17.07,9.26,7.81,4.28,4.53,4.02,"11/5/2014"
1610612755,"PHI","Philadelphia 76ers",1,0,1,240,240,92740,17.56,9.38,8.19,4.41,4.84,4,"11/5/2014"
1610612756,"PHX","Phoenix Suns",1,0,1,240,240,85014,16.1,8.33,7.77,4.03,4.33,3.74,"11/5/2014"
1610612758,"SAC","Sacramento Kings",1,1,0,240,240,89435,16.94,9.24,7.69,4.23,4.38,4.07,"11/5/2014"
1610612759,"SAS","San Antonio Spurs",1,1,0,240,240,93203,17.65,10.16,7.49,4.43,4.84,3.96,"11/5/2014"
1610612761,"TOR","Toronto Raptors",1,1,0,240.01,240.01,88841,16.83,8.65,8.17,4.21,4.22,4.26,"11/5/2014"
1610612762,"UTA","Utah Jazz",1,1,0,240.01,240.01,87010,16.48,9.32,7.15,4.13,4.41,3.82,"11/5/2014"
1610612764,"WAS","Washington Wizards",1,1,0,265,265,93853,17.78,8.96,8.82,4.04,4.42,3.7,"11/5/2014"
1610612742,"DAL","Dallas Mavericks",1,0,1,239.99,239.99,87855,16.64,8.78,7.85,4.17,4.42,3.96,"11/6/2014"
1610612745,"HOU","Houston Rockets",1,1,0,240,240,91929,17.41,9.05,8.36,4.36,4.49,4.28,"11/6/2014"
1610612757,"POR","Portland Trail Blazers",1,1,0,240.01,240.01,90093,17.06,9.4,7.67,4.28,4.72,3.85,"11/6/2014"
1610612759,"SAS","San Antonio Spurs",1,0,1,240,240,93577,17.72,9.82,7.9,4.44,4.99,3.9,"11/6/2014"
1610612737,"ATL","Atlanta Hawks",1,0,1,290.01,290.01,102999,19.51,10.02,9.49,4.04,4.43,3.7,"11/7/2014"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,86578,16.4,8.3,8.1,4.11,4.7,3.64,"11/7/2014"
1610612751,"BKN","Brooklyn Nets",1,1,0,240,240,86585,16.4,8.68,7.72,4.1,4.39,3.82,"11/7/2014"
1610612766,"CHA","Charlotte Hornets",1,1,0,290.03,290.03,103588,19.62,11.06,8.55,4.06,4.32,3.81,"11/7/2014"
1610612741,"CHI","Chicago Bulls",1,1,0,240,240,90244,17.09,9.59,7.5,4.28,4.49,4.04,"11/7/2014"
1610612739,"CLE","Cleveland Cavaliers",1,1,0,240.03,240.03,87749,16.62,8.98,7.64,4.16,4.25,4.06,"11/7/2014"
1610612742,"DAL","Dallas Mavericks",1,1,0,240.01,240.01,85829,16.26,8.57,7.68,4.08,4.31,3.85,"11/7/2014"
1610612743,"DEN","Denver Nuggets",1,0,1,240,240,87440,16.56,8.65,7.91,4.16,4.65,3.73,"11/7/2014"
1610612765,"DET","Detroit Pistons",1,1,0,240,240,86708,16.42,9.25,7.17,4.11,4.24,3.95,"11/7/2014"
1610612754,"IND","Indiana Pacers",1,0,1,240,240,87680,16.61,9.25,7.36,4.16,4.13,4.19,"11/7/2014"
1610612763,"MEM","Memphis Grizzlies",1,1,0,240,240,84027,15.91,8.56,7.35,3.99,4.29,3.73,"11/7/2014"
1610612749,"MIL","Milwaukee Bucks",1,0,1,240,240,87537,16.58,8.29,8.28,4.16,4.56,3.83,"11/7/2014"
1610612750,"MIN","Minnesota Timberwolves",1,0,1,265,265,97364,18.44,9.69,8.75,4.19,4.37,4.04,"11/7/2014"
1610612752,"NYK","New York Knicks",1,0,1,240,240,87680,16.61,9.2,7.41,4.16,4.57,3.74,"11/7/2014"
1610612760,"OKC","Oklahoma City Thunder",1,0,1,240,240,84446,15.99,8.62,7.38,4.01,4.33,3.69,"11/7/2014"
1610612753,"ORL","Orlando Magic",1,1,0,265,265,98156,18.59,10.29,8.3,4.22,4.73,3.72,"11/7/2014"
1610612755,"PHI","Philadelphia 76ers",1,0,1,240,240,91071,17.25,9.03,8.22,4.31,4.85,3.83,"11/7/2014"
1610612756,"PHX","Phoenix Suns",1,0,1,290,290,102107,19.34,10.1,9.24,4,4.29,3.72,"11/7/2014"
1610612758,"SAC","Sacramento Kings",1,1,0,290,290,100186,18.97,10.39,8.59,3.93,4.21,3.65,"11/7/2014"
1610612761,"TOR","Toronto Raptors",1,1,0,240,240,87827,16.63,8.46,8.18,4.16,4.46,3.94,"11/7/2014"
1610612762,"UTA","Utah Jazz",1,0,1,240,240,86983,16.47,9.15,7.33,4.13,4.55,3.66,"11/7/2014"
1610612764,"WAS","Washington Wizards",1,0,1,240,240,89073,16.87,9.37,7.5,4.24,4.51,3.93,"11/7/2014"
1610612737,"ATL","Atlanta Hawks",1,1,0,240,240,84875,16.07,8.66,7.41,4.03,4.37,3.7,"11/8/2014"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,87908,16.65,8.47,8.18,4.22,4.72,3.85,"11/8/2014"
1610612741,"CHI","Chicago Bulls",1,0,1,240,240,90089,17.06,9.47,7.6,4.35,4.46,4.22,"11/8/2014"
1610612744,"GSW","Golden State Warriors",1,1,0,240,240,89462,16.94,9.05,7.9,4.23,4.72,3.79,"11/8/2014"
1610612745,"HOU","Houston Rockets",1,0,1,240,240,91685,17.36,9.28,8.08,4.37,4.47,4.25,"11/8/2014"
1610612754,"IND","Indiana Pacers",1,0,1,240,240,89304,16.91,9.3,7.61,4.24,4.52,3.93,"11/8/2014"
1610612746,"LAC","Los Angeles Clippers",1,1,0,240.02,240.02,86501,16.38,8.38,8,4.11,4.29,3.93,"11/8/2014"
