"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","date","Team"
1610612738,"BOS","Boston Celtics",1,1,0,239.98,239.98,93150,17.64,9.34,8.3,4.1,4.3,3.9,2020-01-04,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240.02,240.02,92137,17.45,9.58,7.87,4.08,4.4,3.74,2020-01-13,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,94210,17.84,9.41,8.43,4.18,4.49,3.87,2019-11-29,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240.01,240.01,95341,18.06,9.7,8.36,4.18,4.52,3.85,2020-01-20,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,96113,18.2,9.78,8.42,4.2,4.53,3.87,2020-07-31,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,92290,17.48,9.57,7.91,4.11,4.44,3.77,2020-02-25,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,92343,17.49,9.84,7.65,4.08,4.31,3.82,2020-02-23,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,95375,18.06,9.42,8.64,4.31,4.66,3.95,2019-11-09,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,97613,18.49,10.09,8.4,4.29,4.57,4,2019-12-11,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,91605,17.35,9.42,7.93,4.03,4.45,3.63,2020-08-02,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,265,265,104058,19.71,10.62,9.09,4.16,4.43,3.88,2020-08-09,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240.01,240.01,92719,17.56,9.39,8.17,4.02,4.41,3.65,2020-03-08,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,96352,18.25,9.84,8.41,4.26,4.64,3.89,2019-10-30,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,92641,17.55,9.28,8.27,4.16,4.69,3.74,2020-01-15,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,91005,17.24,9.28,7.95,4.03,4.42,3.7,2020-02-01,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,90027,17.05,9.23,7.82,4.04,4.42,3.64,2020-01-09,"Boston Celtics"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,95329,18.05,10.15,7.9,4.26,4.51,3.97,2019-11-29,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,92238,17.47,9.29,8.18,4.12,4.45,3.8,2019-11-14,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240.01,240.01,92617,17.54,9.7,7.84,4.1,4.37,3.8,2019-11-12,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240.01,240.01,90921,17.22,9.53,7.69,4.1,4.47,3.73,2020-01-20,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,95289,18.05,9.83,8.22,4.22,4.55,3.89,2019-11-27,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,96162,18.21,10.08,8.13,4.26,4.47,4.02,2019-11-25,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,94148,17.83,9.85,7.98,4.2,4.34,4.04,2019-12-07,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,91036,17.24,9.06,8.18,4.04,4.31,3.83,2020-03-02,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,1,0,240,240,90388,17.12,9.17,7.95,3.97,4.33,3.61,2019-12-18,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,1,0,239.99,239.99,95090,18.01,9.91,8.1,4.18,4.29,4.06,2019-10-26,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,92707,17.56,9.13,8.43,4.14,4.24,3.99,2020-01-05,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,1,0,240,240,90816,17.2,9.42,7.78,4.19,4.3,4.06,2019-11-10,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,90822,17.2,9.34,7.86,4.08,4.43,3.73,2020-01-23,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240.02,240.02,93628,17.73,9.5,8.24,4.26,4.5,4,2019-11-03,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,1,0,240,240,93374,17.68,9.59,8.09,4.19,4.47,3.91,2019-12-20,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240.01,240.01,92102,17.44,9.32,8.13,4.08,4.42,3.74,2020-01-07,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,90470,17.13,9.65,7.48,4.04,4.27,3.83,2019-12-09,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,91705,17.37,9.79,7.57,4.15,4.29,3.98,2019-12-16,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,95003,17.99,10.16,7.83,4.21,4.57,3.81,2019-11-18,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,1,0,240,240,90231,17.09,9.26,7.83,4.02,4.4,3.64,2020-02-26,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,92325,17.49,9.57,7.92,4.14,4.56,3.72,2019-12-06,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,1,0,240,240,88181,16.7,8.67,8.03,3.92,4.33,3.55,2020-03-07,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,90286,17.1,9.24,7.86,4.01,4.17,3.85,2020-01-18,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,239.99,239.99,91987,17.42,9.13,8.29,4.08,4.48,3.7,2019-12-27,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,1,0,240,240,96092,18.2,10.4,7.8,4.19,4.43,3.91,2019-12-28,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240.01,240.01,92482,17.52,9.71,7.8,4.12,4.38,3.83,2020-01-25,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,92199,17.46,9.47,7.99,4.24,4.4,4.06,2020-02-01,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,96792,18.33,10.21,8.12,4.4,4.53,4.25,2019-10-28,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,95293,18.05,9.6,8.44,4.25,4.34,4.16,2020-01-28,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,95266,18.04,9.99,8.06,4.2,4.64,3.79,2019-11-17,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,1,0,240,240,96006,18.18,10.03,8.15,4.18,4.24,4.07,2020-02-12,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,93333,17.68,9.53,8.15,4.09,4.3,3.82,2020-01-04,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,95181,18.03,10.03,8,4.27,4.37,4.14,2020-01-17,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,1,0,240.01,240.01,94474,17.89,9.86,8.03,4.15,4.39,3.9,2019-10-30,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,1,0,240,240,96348,18.25,10.07,8.17,4.21,4.51,3.94,2019-12-23,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,90092,17.06,9.43,7.63,3.97,4.19,3.69,2020-03-04,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,1,0,240,240,95378,18.06,9.43,8.63,4.19,4.29,4.03,2020-02-21,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,95519,18.09,10.1,7.99,4.27,4.51,4.01,2019-10-23,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,92757,17.57,9.87,7.7,4.11,4.36,3.83,2020-01-30,"Cleveland Cavaliers"
1610612739,"CLE","Cleveland Cavaliers",1,0,1,240,240,91648,17.36,9.66,7.7,4.02,4.28,3.73,2020-02-05,"Cleveland Cavaliers"
